Title,Price,Image,description,links
2024 Mercedes Benz E300e AMG 4MATIC Alpine Grey X Black,"EGP 7,150,000",C:\Users\10\Documents\Python Scripts/allimag/image10.jpg,"2024 Mercedes Benz E300e AMG 4MATIC

Alpine Grey X Black

Brand New 

Mercedes-Benz Connect - Services for navigation Operating instructions and service booklet German Vehicle production location Sindelfingen Plant control code Plant control code HU country set for ECE (NTG7/NTG 20X) Fuel quantity for self-pickups Mercedes-Benz Connect - EV functions Smartphone integration package ME vehicle Apple Carplay smartphone integration Android Auto smartphone integration Communication module ECE version Leather Rear axle steering  Active Parking Assist Active Lane Keeping Assist (camera) Automatic dimming inside rearview mirror and outside mirrors Mb-Mobilo with DSB and GGD Rear sensors for Lane Keeping Assist. lines Digital LED headlamps, right-side traffic Control code  Type II-B Climatised front seats Automatic panoramic sliding sunroof 9-speed automatic transmission Projection function via headlamps - animation Heated steering wheel Instrument cluster display M Tire pressure monitor (TPM AIRMATIC DC / semi-active air suspension MBUX Entertainment incl. video streaming Cold end technology, type 1 Electrically folding exterior mirrors 360° camera, black fabric MBUX multimedia system premium + (Gen 20X) Digital Radio standard DAB (Digi. Audio Broadc. ) Attention Assist (fatigue detection) Speed/load index 99Y XL + 102Y XL Automatic speed control Trailer coupling Standard anti-theft alarm system (ATA) Trailer Assist Air-conditioning system Logo projection via mirror Automatic high beam control plus (IC+) Vehicle socket XEV Combo 2/Type 2 Ship's deck Norway maple MK wood alu lesene (2C63) Engine sound via speaker Safety vest - driver USB package AMG styling - Front spoiler, side skirts Pre-installation of Digital Radio standard DAB WIPPS countries WEU+COC Mode 2 cable sleeve, household Mode 3 cable sleeve Seat model variant 2 YoM X3/1 Premium sound system Multi-phase AC charging function (10 kW-11 kW) Glas dunkel getönt Acoustic glazing Front passenger display Switchable front passenger display Central display size L Sensor system for trunk lid opening/closing Left and right rear seat heating Heated windscreen washer system Connected Light ambient lighting Remote boot lid closing Sensor system and siren for anti-theft alarm system KEYLESS-GO Passive child recognition in locked vehicle Premium ambiance illumination Vehicle access and authorization via smartphone Front wireless telephone charging Control code for Sales Control code - GSR-ISA Seat comfort padding Exhaust treatment, Euro 6 technology Alpine gray
Charging cable Mode 3 (Type 2, 3X16A, 11 kW) 5M Standard power variant Fuel tank packages for Euro-6D standard Front axle brakes dimension 370×32 Charging cable Schuko CEE 7/7 (Type E/F) 4M/5M TIREFIT External noise sound generator for hybrids and EV PB400 battery (1P96S+) Model series 214
Rear axle Control service interval Active Lane Change Assist Extended restart in stop-and-go traffic Route-based speed adaptation Deactivation of locking feedback via horn Emergency corridor with driving over lane marking Emergency stop assistant with hands-off lane change Left-hand drive Supersport steering wheel - leather deep-embossed Body-in-white load stage 2 Vehicles with 4MATIC/all-wheel drive Derated engine Displacement 2.0 liter Inline 4-cylinder spark ignition engine M254 Hybrid vehicle (plug-in, PHEV) Plant control code KEYLESS-GO package Driving assistant package Plus Interior AMG Line / interior AMG sport package Exterior AMG Line / exterior AMG sport package Exclusive Package Light Package Parking Package High Night Package Anti-Theft Protection Package Plus Engineering package Display package High Winter package MBUX Navigation Premium Equipment Package - Wheel size 20"" mixed tires variant 1 AMG multi-spoke wheels 20"" ""mixed tires"" rear passenger compartment belt Illuminated door sill Floor mats - AMG Sport brake system Leather-clad instrument panel and beltline (imit. nappa) Pedestrian protection - Active hood Left front axle half Right front axle half

For more info Youssef 01005255546
",https://www.dubizzle.com.eg//en/ad/2024-mercedes-benz-e300e-amg-4matic-alpine-grey-x-black-ID201096189.html
ستروين C5,"EGP 675,000",C:\Users\10\Documents\Python Scripts/allimag/image11.jpg,"ستروين C5 موديل 2015 
تحكم طاره. مثبت ومحدد سرعه كمبيوتر رحلات مرايات ضم تعتيم كهرباء 
جميع وسائل الآمان وانظمه السلامه 
افضل اداء وعزم وثبات فى السرعات العاليه 
ماشيه 175 ألف وتم عمل جميع الصيانات اللازمه. ولا تحتاج لاى صيانه بدهان المصنع بالكامل من الداخل فبريكا. مدهونه فقط حزام للشكل الخارجي الجمالى نتيجه الخدوش البسيطه المعاينه اكتوبر. رخصه ساريه السعر 675 ألف بضمان الشركه العربيه والاستلام فورى
",https://www.dubizzle.com.eg//en/ad/%D8%B3%D8%AA%D8%B1%D9%88%D9%8A%D9%86-c5-ID201086103.html
بيجو ٥٠٨,"EGP 675,000",C:\Users\10\Documents\Python Scripts/allimag/image12.jpg,"بيجو 508 اعلى فئه بصمه 
السياره الأولى فى الفخامه ومتعه القياده 
وجميع الكماليات وجميع وسائل الأمان وانظمه السلامه. موديل 2013. 
كراسى جلد طبيعى كهرباء. تحكم طاره. فوانيس زينون. مرايات ضم تعتيم 
طقم كاوتش ميشلان. جميع الصيانات الدوريه فى مواعيدها بكل اهتمام وعنايه وتم عمل آخر صيانه ولا تحتاج لاى مصاريف ماشيه 154 ألف كم طرق مفتوحه. بدهان المصنع بالكامل من الداخل. فبريكا دواخل مدهونه من الخارج حزام فقط للشكل الخارجي الجمالى المعاينه اكتوبر مرور المعادى رخصه ساريه السعر 675 ألف بضمان الشركه العربيه والاستلام فورى
",https://www.dubizzle.com.eg//en/ad/%D8%A8%D9%8A%D8%AC%D9%88-%D9%A5%D9%A0%D9%A8-ID201086026.html
دايو نوبيرا اوتوماتيك ٢,"EGP 290,000",C:\Users\10\Documents\Python Scripts/allimag/image13.jpg,"دايو نوبيرا اوتوماتيك ٢
",https://www.dubizzle.com.eg//en/ad/%D8%AF%D8%A7%D9%8A%D9%88-%D9%86%D9%88%D8%A8%D9%8A%D8%B1%D8%A7-%D8%A7%D9%88%D8%AA%D9%88%D9%85%D8%A7%D8%AA%D9%8A%D9%83-%D9%A2-ID201085864.html
X5 2016 New profile,"EGP 3,100,000",C:\Users\10\Documents\Python Scripts/allimag/image14.jpg,"X5 2016 New profile 
جميع الصيانات في التوكيل بالفواتير 
يمكن الكشف في التوكيل 
رخصه سنه ونص
مرور مدينة نصر 
٤ فرد كاوتش جديد 
لا تحتاج اي مصاريف
بروتيكشن كامل بلون السيارة لون مميز
فبركة بالكامل
",https://www.dubizzle.com.eg//en/ad/x5-2016-new-profile-ID201085686.html
كيا كارينز 2015,"EGP 890,000",C:\Users\10\Documents\Python Scripts/allimag/image15.jpg,"العربيه بحاله ممتازه جدا يمكن البيع او البدل باعلى موديل 2015 ملحوظه السعر النهائي كانت معروضه 950 ولما الاسعار نزلت عرضنا ب 890 الاخر العربيه بتاعتي شخصيه تكييف شغال كويس جدا موتور تمام الفتيس تمام موديل 2015 فيها رخصه ثلاث سنين 
01023245830 من فضلكم احضار فني لعدم ضيع الوقت
",https://www.dubizzle.com.eg//en/ad/%D9%83%D9%8A%D8%A7-%D9%83%D8%A7%D8%B1%D9%8A%D9%86%D8%B2-2015-ID201075878.html
توسان  بحاله الزيروو 2020,"EGP 1,350,000",C:\Users\10\Documents\Python Scripts/allimag/image16.jpg,"هيونداي توسان 2020 كسر زيرو بدون خدش 
الفئه التانيه  وفرش جلد  
مثبت ومحدد 
كاميرا 360  
تكييف خلفي 

عداد 85الف 
السعر مليون 350
رخصه سنه 


سيارة فابريكا كلها برا و جوا 

الفئة الثانية ( مرايات ضم + تحكن طارة + شاشة ٩ + كاميرا + سينسور + ٢ ايرباج + تكييف خلفي + مثبت شرعس )

كماليات اضافية (طارة خياطة  + فرش جلد جديد +امبيت لايت + لمض ليد عالي و واطي و شبورة+ دواسات )  الكفرات جديدة  استخدام اسبوع فقط 


للتواصل : ‭٠ ١٠٠ ١٥٠٠٨٤٣‬
",https://www.dubizzle.com.eg//en/ad/%D8%AA%D9%88%D8%B3%D8%A7%D9%86-%D8%A8%D8%AD%D8%A7%D9%84%D9%87-%D8%A7%D9%84%D8%B2%D9%8A%D8%B1%D9%88%D9%88-2020-ID201075860.html
c180 2023 وكيل,"EGP 3,680,000",C:\Users\10\Documents\Python Scripts/allimag/image17.jpg,"c180 2023 grey 
camel interior 
zeroooooo وكيل
",https://www.dubizzle.com.eg//en/ad/c180-2023-%D9%88%D9%83%D9%8A%D9%84-ID201075858.html
للبيع بيجو  508 gt line  2020,"EGP 1,550,000",C:\Users\10\Documents\Python Scripts/allimag/image18.jpg,"من فضلك اقراء تفاصيل الاعلان كويس 
للبيع بيجو 508 gt موديل 2020 
عداد 59 الف …. فابريكا بالكامل … صيانات توكيل بالكامل …. صيانة ٦٠ الف معموله امبارح فى التوكيل 
كاوتش جديد وتيل امامى وخلفى جديد متركب امبارح 
ضمان ممتد الى 2025 او 150 الف كيلوا 
مش محتاجه جنيه مصروف … متاح الكشف فى اى مكان …. التواصل على الفون فقط 
01284533086
",https://www.dubizzle.com.eg//en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%8A%D8%AC%D9%88-508-gt-line-2020-ID201075730.html
للبيع نيسان قشقاي,"EGP 930,000",C:\Users\10\Documents\Python Scripts/allimag/image19.jpg,"نيسان قشقاي ٢٠١٨ 
عداد ١٢٦ الف كم- سقف بانوراما
صيانات دوريه في توكيل نيسان اوتو ايجيبت . . الفواتير كلها موجودة . 
تغيير  ٤ كاوتش "" بيرلي"" جديد في التوكيل . . في صيانه ١٢٠ الف . . شهر ٩ - ٢٠٢٣
السيارة لا تحتاج اي مصاريف 
رخصة حتي ٢٠٢٥/١٠ باسم المالك - مرور العتبة
السعر ٩٣٠ الف . . . قابل للتفاوض البسيط بعد المعاينة
المعاينة المهندسين -شارع احمد عرابي 
لاي استفسارات اخري او المعاينة ت :  ٠١١٤٦٤٠٠٠٦٣
",https://www.dubizzle.com.eg//en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%86%D9%8A%D8%B3%D8%A7%D9%86-%D9%82%D8%B4%D9%82%D8%A7%D9%8A-ID201075498.html
ڤولكس ڤاجن جيتا ٢٠١٦,"EGP 660,000",C:\Users\10\Documents\Python Scripts/allimag/image20.jpg,"ڤولكس ڤاجن چيتا ٢٠١٦ فبريكا جارجي وداخلي حاله فوق الممتاز 
معاقين 
ماتيك
شاشه اندرويد 
مثبت سرعه جنوط سبور
مرايات كهرباء
زجاج كهرباء
",https://www.dubizzle.com.eg//en/ad/%DA%A4%D9%88%D9%84%D9%83%D8%B3-%DA%A4%D8%A7%D8%AC%D9%86-%D8%AC%D9%8A%D8%AA%D8%A7-%D9%A2%D9%A0%D9%A1%D9%A6-ID201075212.html
حاله نادره جنوط شاشه اندرويد,"EGP 375,000",C:\Users\10\Documents\Python Scripts/allimag/image21.jpg,"بيجو 307 موديل 2008
حاله ممتازه جنوط شاشه أندرويد
العربيه صيانتها بالكامل عاملها مش محتاجه أي شئ
ماتور ممتاز مثبت علي الرخصه
قابل للتفاوض ند الجديه  التجار يمتنعون منعا للإحراج
التفاصيل علي التليفون فقط 
لايوجد أي مصاريف سواً بعض تليقطات في الأكصدامات 
01028668667
",https://www.dubizzle.com.eg//en/ad/%D8%AD%D8%A7%D9%84%D9%87-%D9%86%D8%A7%D8%AF%D8%B1%D9%87-%D8%AC%D9%86%D9%88%D8%B7-%D8%B4%D8%A7%D8%B4%D9%87-%D8%A7%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-ID201074411.html
فولكس واجن تيجوان ٢٠٢٣ ممشي ٣الاف كم فقط,"EGP 1,990,000",C:\Users\10\Documents\Python Scripts/allimag/image22.jpg,"فولكس واجن تيجوان ٢٠٢٣ ممشي ٣الاف كم فقط
لايف خليجي بانوراما وفتحة سقف 
١،٤ سي سي تربو ازرق داكن
تواصل واتس
",https://www.dubizzle.com.eg//en/ad/%D9%81%D9%88%D9%84%D9%83%D8%B3-%D9%88%D8%A7%D8%AC%D9%86-%D8%AA%D9%8A%D8%AC%D9%88%D8%A7%D9%86-%D9%A2%D9%A0%D9%A2%D9%A3-%D9%85%D9%85%D8%B4%D9%8A-%D9%A3%D8%A7%D9%84%D8%A7%D9%81-%D9%83%D9%85-%D9%81%D9%82%D8%B7-ID201065797.html
للبيع Nissan Sunny ٢٠٢٠,"EGP 550,000",C:\Users\10\Documents\Python Scripts/allimag/image23.jpg,"Nissan Sunny 2020للبيع
",https://www.dubizzle.com.eg//en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-nissan-sunny-%D9%A2%D9%A0%D9%A2%D9%A0-ID201065076.html
تويوتا كورولا ٢٠٢٤ وارد الامارات فئة ثالثة زيروو,"EGP 1,380,000",C:\Users\10\Documents\Python Scripts/allimag/image24.jpg,"تويوتا كورولا ٢٠٢٤ زيروو
وارد الامارات 
فئة ثالثة
بلد التصنيع / تركيا
چنوط سبور
مفتاح ذكى / بصمة باب خارجى
حساس خلفى و أمامى
عداد ديچيتال
start engine
للمعاينة / مدينة نصر
01100612208
",https://www.dubizzle.com.eg//en/ad/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D9%83%D9%88%D8%B1%D9%88%D9%84%D8%A7-%D9%A2%D9%A0%D9%A2%D9%A4-%D9%88%D8%A7%D8%B1%D8%AF-%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D9%81%D8%A6%D8%A9-%D8%AB%D8%A7%D9%84%D8%AB%D8%A9-%D8%B2%D9%8A%D8%B1%D9%88%D9%88-ID201065038.html
c 180 2019 Aventgarde,"EGP 2,500,000",C:\Users\10\Documents\Python Scripts/allimag/image25.jpg,"من المالك مباشره  
c 180 فيس ليفت 
Aventgarde 
فيلم حمايه protect me 
فتحه سقف + بانوراما 
 ٩٣،٠٠٠ كم 
فبيركه
صيانات توكيل 
كاوش جديد
اسود× اسود 
 مساعدين جداد فى التوكيل
",https://www.dubizzle.com.eg//en/ad/c-180-2019-aventgarde-ID201064647.html
عروض المتحدة جروب || صورة البطاقة - أقل مقدم [ام جي RX5 2024  ],"EGP 415,000",C:\Users\10\Documents\Python Scripts/allimag/image26.jpg,"⁂ أفضل عروض التقسيط من المتحدة جروب [ المنصورة ] :
 # مقدم السيارة : 415,000 جنيه    
• جميع الفئات 
• جميع الألوان 
• كاش بأميز الأسعار 
• أسرع موافقة بنكية خلال (24) ساعة بصورة البطاقة الشخصية
• تقسيط بنكي بأفضل التسهيلات وأسرع التسليمات
• أطول فترة سداد تصل حتى 8 سنوات
• عروض بدون استعلام
• عروض بدون حظر بيع
• عروض بدون تأمين
• عروض بأقل مقدم في مصر
• عروض بدون مصاريف إدارية
• عروض خاصة للأطباء و أساتذة الجامعات
•  عروض خاصة لضباط الجيش والشرطة 
• برامج تقسيط لأصحاب السجلات التجارية 
• برامج تقسيط لموظفي القطاع العام والخاص 
• برامج تقسيط لربات المنازل
• برامج تقسيط خاصة لو كنت بدون عمل 
••••••••••••••••••••••••••••••••••••••••••••••••• 
 للإستفسار | يرجى التواصل مباشرة على الأرقام التالية :
01029111143  - 01014941111 
01021111329  - 01013581111  

0502302119  
•••••••••••••••••••••••••••••••••••••••••••••••••
يسعدنا زيارتكم لمقر الشركة على العنوان التالي :
المنصورة : 
توريل - ش سعد زغلول - بجوار ڤيلا المحافظ - مقابل الأمن الوطني
•••••••••••••••••••••••••••••••••••••••••••••••••
يمكنكم متابعتنا على الفيسبوك : المتحدة جروب للسيارات
",https://www.dubizzle.com.eg//en/ad/%D8%B9%D8%B1%D9%88%D8%B6-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%AC%D8%B1%D9%88%D8%A8-%D8%B5%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%82%D8%A9-%D8%A3%D9%82%D9%84-%D9%85%D9%82%D8%AF%D9%85-%D8%A7%D9%85-%D8%AC%D9%8A-rx5-2024-ID201054818.html
BMW X2 - 2019 model,"EGP 1,500,000",C:\Users\10\Documents\Python Scripts/allimag/image27.jpg,"BMW X2 in very good condition for sale
",https://www.dubizzle.com.eg//en/ad/bmw-x2-2019-model-ID201053782.html
عروض المتحدة جروب || صورة البطاقة - أقل مقدم [ سوزوكي ديزاير 2024 ],"EGP 200,000",C:\Users\10\Documents\Python Scripts/allimag/image28.jpg,"⁂ أفضل عروض التقسيط من المتحدة جروب [ المنصورة ] :
 # مقدم السيارة : 200,000 جنيه    
• جميع الفئات 
• جميع الألوان 
• كاش بأميز الأسعار 
• أسرع موافقة بنكية خلال (24) ساعة بصورة البطاقة الشخصية
• تقسيط بنكي بأفضل التسهيلات وأسرع التسليمات
• أطول فترة سداد تصل حتى 8 سنوات
• عروض بدون استعلام
• عروض بدون حظر بيع
• عروض بدون تأمين
• عروض بأقل مقدم في مصر
• عروض بدون مصاريف إدارية
• عروض خاصة للأطباء و أساتذة الجامعات
•  عروض خاصة لضباط الجيش والشرطة 
• برامج تقسيط لأصحاب السجلات التجارية 
• برامج تقسيط لموظفي القطاع العام والخاص 
• برامج تقسيط لربات المنازل
• برامج تقسيط خاصة لو كنت بدون عمل 
••••••••••••••••••••••••••••••••••••••••••••••••• 
 للإستفسار | يرجى التواصل مباشرة على الأرقام التالية :
01029111143  - 01014941111 
01021111329  - 01013581111  

0502302119  
•••••••••••••••••••••••••••••••••••••••••••••••••
يسعدنا زيارتكم لمقر الشركة على العنوان التالي :
المنصورة : 
توريل - ش سعد زغلول - بجوار ڤيلا المحافظ - مقابل الأمن الوطني
•••••••••••••••••••••••••••••••••••••••••••••••••
يمكنكم متابعتنا على الفيسبوك : المتحدة جروب للسيارات
",https://www.dubizzle.com.eg//en/ad/%D8%B9%D8%B1%D9%88%D8%B6-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%AC%D8%B1%D9%88%D8%A8-%D8%B5%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%82%D8%A9-%D8%A3%D9%82%D9%84-%D9%85%D9%82%D8%AF%D9%85-%D8%B3%D9%88%D8%B2%D9%88%D9%83%D9%8A-%D8%AF%D9%8A%D8%B2%D8%A7%D9%8A%D8%B1-2024-ID201053699.html
عروض المتحدة جروب || صورة البطاقة - أقل مقدم [شيفروليه اوبترا 2024],"EGP 200,000",C:\Users\10\Documents\Python Scripts/allimag/image29.jpg,"أفضل عروض التقسيط من المتحدة جروب [ المنصورة ] :
 # مقدم السيارة : 200,000 جنيه    
• جميع الفئات 
• جميع الألوان 
• كاش بأميز الأسعار 
• أسرع موافقة بنكية خلال (24) ساعة بصورة البطاقة الشخصية
• تقسيط بنكي بأفضل التسهيلات وأسرع التسليمات
• أطول فترة سداد تصل حتى 8 سنوات
• عروض بدون استعلام
• عروض بدون حظر بيع
• عروض بدون تأمين
• عروض بأقل مقدم في مصر
• عروض بدون مصاريف إدارية
• عروض خاصة للأطباء و أساتذة الجامعات
•  عروض خاصة لضباط الجيش والشرطة 
• برامج تقسيط لأصحاب السجلات التجارية 
• برامج تقسيط لموظفي القطاع العام والخاص 
• برامج تقسيط لربات المنازل
• برامج تقسيط خاصة لو كنت بدون عمل 
••••••••••••••••••••••••••••••••••••••••••••••••• 
 للإستفسار | يرجى التواصل مباشرة على الأرقام التالية :
01029111143  - 01014941111 
01021111329  - 01013581111  

0502302119  
•••••••••••••••••••••••••••••••••••••••••••••••••
يسعدنا زيارتكم لمقر الشركة على العنوان التالي :
المنصورة : 
توريل - ش سعد زغلول - بجوار ڤيلا المحافظ - مقابل الأمن الوطني
•••••••••••••••••••••••••••••••••••••••••••••••••
يمكنكم متابعتنا على الفيسبوك : المتحدة جروب للسيارات
",https://www.dubizzle.com.eg//en/ad/%D8%B9%D8%B1%D9%88%D8%B6-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%AC%D8%B1%D9%88%D8%A8-%D8%B5%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%82%D8%A9-%D8%A3%D9%82%D9%84-%D9%85%D9%82%D8%AF%D9%85-%D8%B4%D9%8A%D9%81%D8%B1%D9%88%D9%84%D9%8A%D9%87-%D8%A7%D9%88%D8%A8%D8%AA%D8%B1%D8%A7-2024-ID201053620.html
